Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
52015;Courcelles;F;52015;Courcelles;F;;;;;;;;;
52018;Farciennes;F;52018;Farciennes;F;;;;;;;;;
52021;Fleurus;F;52021;Fleurus;F;;;;;;;;;
52022;Fontaine-l'Evêque;F;52022;Fontaine-l'Evêque;F;;;;;;;;;
52025;Gerpinnes;F;52025;Gerpinnes;F;;;;;;;;;
52075;Les Bons Villers;F;52075;Les Bons Villers;F;;;;;;;;;
52048;Montigny-le-Tilleul;F;52048;Montigny-le-Tilleul;F;;;;;;;;;
52055;Pont-à-celles;F;52055;Pont-à-celles;F;;;;;;;;;
53000;Arrondissement de Mons;;53000;Arrondissement Bergen;;;;;;;;;;
53014;Boussu;F;53014;Boussu;F;;;;;;;;;
53082;Colfontaine;F;53082;Colfontaine;F;;;;;;;;;
53020;Dour;F;53020;Dour;F;;;;;;;;;
